coordenada,calificacion,comentario
"-12.0773039,-77.1696105,11z",5,"Sonia un Restaurante que nunca perdió su excelente Calidad, un gusto volver y encontrar los ambientes de siempre y ese sabor especial de su Carta Marina, saludos al esposo de la Sra. Sonia y a su hijo y nieto.
Bendiciones."
"-12.0773039,-77.1696105,11z",5,"Es buenardo por donde lo mires. Una comida excelente, atención formidable y calidez en el ambiente. Muy recomendable. Comer causitas, ceviche y chita y cabrillas laminado de ajo"
"-12.0773039,-77.1696105,11z",5,"Maravilloso almuerzo y bella historia de este restaurant, de amor y esfuerzo. Totalmente recomendado, los sabores los sorprenderán."
"-12.0773039,-77.1696105,11z",5,"Los platos muy ricos, el ambiente acogedor en verano, la atención podrían mejorar, los baños necesitan limpieza constante."
"-12.0773039,-77.1696105,11z",3,"un lugar acogedor , su leche de tigre estaba bueno , prove el chicharron de chicharron  rico pero muy poquito  y su pusco saur esta masomenos"
"-12.0773039,-77.1696105,11z",5,Muy bueno  en sus platos y la atención
"-12.0773039,-77.1696105,11z",4,"Lugar un poco escondido con atención a puerta cerrada.
La atención en mesa es buena y sirven rápido.
Los platos son buenos, tienen amplia variedad. El sabor se logra, pero pueden…"
"-12.0773039,-77.1696105,11z",5,"Excelente comida, muy buena atención.. lo recomiendo"
"-12.0773039,-77.1696105,11z",1,"Ni servilletas, y en vez de leche tigre te dan pichi de tigre, un 6 chicharrones mixtos por 50 soles , un robo...no recomiendo
Gracias"
"-12.0773039,-77.1696105,11z",5,"Primera vez que iba, me lo recomendaron, buenos platos, buen servicio"
"-12.0773039,-77.1696105,11z",5,"Es un restaurante que es muy bueno para estar de familia o solo, en cual el atención al cliente es excelente y la comida, riquísima, recomendable."
"-12.0773039,-77.1696105,11z",5,"Muy rico!  Lugar acogedor. Una combinación de buen sabor con buena música en vivo. Pedir siempre de postre los picarones, son deliciosos"
"-12.0773039,-77.1696105,11z",5,Excelente  comida amenizada con música criolla en vivo.100 % recomendable.
"-12.0773039,-77.1696105,11z",2,Bonito ambiente pero mala calidad de los ceviches que pedí.
"-12.0773039,-77.1696105,11z",4,"El ambiente es muy bonito con música en vivo. Los platos que pedimos muy buenos, ceviche de pescado del día y risotto a la huancaína con pulpo a la parrilla."
"-12.0773039,-77.1696105,11z",5,"Me encantó venir! Excelente comida, música en vivo, muy buena atención. Un ambiente súper bonito. Sin duda volvería."
"-12.0773039,-77.1696105,11z",5,"Una cevichería tradicional, el dueño siempre vestido tal cual las fotos de hace décadas."
"-12.0773039,-77.1696105,11z",1,La presentación es buena y el ambiente. Por eso una estrella pero al final uno va a un restaurante es para comer. PEDÍ el ceviche del día y me dieron uno que tenía trozos de pescado congelados. ¿Donde pescaron eso? ... Pues aparentemente en…
"-12.0773039,-77.1696105,11z",5,"Lugar recomendable para disfrutar de comida marina, este es un huarique de conocedores de la buena comida, atiende a puerta cerrada. Solo toque y será bienvenido, buena carta y mejor atención."
"-12.0773039,-77.1696105,11z",4,"Restaurante con una decoración muy particular, platos ricos y variados, bien servidos, tambiwn venden fuentes. Uno de sus platos estrella es El chupe de camarones,  Chita al ajo, Pulpo a la parrilla.…"
"-12.0773039,-77.1696105,11z",5,"Muy rico, no tiene letrero, lo ubicas x la embarcacion en la puerta"
"-12.0773039,-77.1696105,11z",5,"Uno de mis lugares favorites en todo el mundo.
Muy buena comida, servicio rápido y efectivo y música en vivo impresionante!
Arriba Perú!"
"-12.0773039,-77.1696105,11z",5,"Muy buen ceviche y el sudado, tiene música piano en vivo."
"-12.0773039,-77.1696105,11z",3,"Noo pasa nada, fui con mucha expectativa.. pero me decepcione ☹️☹️

De entrada no más te aguantan.. tiene reserva??? Si el local estaba vacío, solo…"
"-12.0773039,-77.1696105,11z",5,"Mejor imposible excelente lugar, comida y servicio recomendado al 100%"
"-12.0773039,-77.1696105,11z",4,Buena opción para comida marina. Recomendable no llevar vehículo.
"-12.0773039,-77.1696105,11z",4,"Buena atención. Me gusta su jugo de maracuyá, muy bueno."
"-12.0773039,-77.1696105,11z",4,"Lo malo: poco estacionamiento hay que ir temprano para encontrar sitio, el ambiente dentro del local es muy amigable y espacioso con buena decoración pero las sillas pequeñas y poco cómodas.…"
"-12.0773039,-77.1696105,11z",5,"Todo es increíble! La comida, el ambiente y la atención"
"-12.0773039,-77.1696105,11z",4,"Para ingresar es mejor hacerlo con reserva porque se llena rápidamente, a pesar que no hay lugar para estacionar hay una persona que ayuda al respecto. El local tiene buen ambiente aunque la música del piano está elevada y no permite una…"
"-12.0773039,-77.1696105,11z",1,"Pesimo customer service. Venimos con mi esposa desde USA, llegamos 3:50pm y el local estaba cerrado. Tocamos el timbre y nos recibio un joven con mala cara diciendo que ya estaban cerrando. Supuestamente Cierra 5pm. Habiamos tomado un taxi…"
"-12.0773039,-77.1696105,11z",4,"Agradable ambiente calidad precio 4/5 creo que pueden mejorar cambiando sus individuales que la verdad no me parece que sean de plástico y las sillas, son super incómodas. La comida muy bien, aunque para ser sincero la causa demasiado pequeña. Los fríos muy bien, le falta un buen risotto."
"-12.0773039,-77.1696105,11z",5,"Excelente Comida, excelente Servicio, Ambiente agradable. Gracias por todo. Mis Amigos quedaron muy satisfechos."
"-12.0773039,-77.1696105,11z",5,Muy buena comida. El ceviche de lenguado buenisimo.
"-12.0773039,-77.1696105,11z",5,"Un lugar mágico donde ser refleja sus anécdotas a través de su decoración, con una variada gastronomía peruana extraordinaria..."
"-12.0773039,-77.1696105,11z",5,Excelente comida y el local muy acogedor con música en vivo y un show particular
"-12.0773039,-77.1696105,11z",5,Fantástico lugar para degustar la comida local del Perú. Te recomiendo llegar temprano (antes de las hrs usuales) para encontrar mesa. La historia y tradición del lugar se sienten en cada rincón.
"-12.0773039,-77.1696105,11z",4,Un clásico de siempre con el mismo buen servicio y su buena sazón.
"-12.0773039,-77.1696105,11z",4,Particularmente tengo tantos años visitando Sonia que fui este Sábado y definitivamente no es el mismo....el ceviche 70% el pescado a la chorrillana le faltó jugo y no había música criolla ....
"-12.0773039,-77.1696105,11z",3,"La comida buena, el servicio pésimo, el administrador nada atento (fuimos un grupo de 15 personas y queríamos cuentas separadas y se enojaron por eso). No hay estacionamiento, debes estacionar subido en la vereda, no hay rampa para discapacitados."
"-12.0773039,-77.1696105,11z",1,No es justo lo que cobran te dan cosas pésima
"-12.0773039,-77.1696105,11z",5,"Excelente del principio al fin, todos los platos, la cordialidad y el buen pescado"
"-12.0773039,-77.1696105,11z",5,"100% recomendado; la comida es muy rica, platos clasicos sin tanto adorno o variacion del sabor y el personal que atiende es muy amable."
"-12.0773039,-77.1696105,11z",1,"Fue una decepción, nada que ver con el restaurante pre pandemia, desde el tamaño de la porción que tampoco  debe ser necesariamente grande, hasta la preparacion: el pulpo al olivo era un plato a base de habas y maíz  y no de pulpo; el…"
"-12.0773039,-77.1696105,11z",5,Muy rica la comida. Me gusta la decoración porque el dueño es un pescador. Lo único que los precios un poco caros. S/100 por persona.
"-12.0773039,-77.1696105,11z",5,"Todo muy bueno, excelente servicio y muy buen ambiente!!"
"-12.0773039,-77.1696105,11z",5,"Todo muy rico, cebiche de lenguado con pulpo 😋, chicharrón mixto!!! Buenazo!!!…"
"-12.0773039,-77.1696105,11z",5,Excelente!!! Mezcla de buena comida y ambiente con música en vivo. Los precios obscenazos eso si...
"-12.0773039,-77.1696105,11z",3,"Hace muchísimo tiempo acudí al lugar y me quedé con una buena sazón. Esta vez no me agradó para nada la comida, la sazón pésima y los precios demasiados elevados."
"-12.0773039,-77.1696105,11z",5,"Me encantó! Hubo música en vivo, un ceviche delicioso, gran servicio y el mismo dueño se acercó a la mesa a saludar y tomarse fotos con nosotros. Parece una pequeña cabaña de pescadores, con un bote decorando la entrada y redes de pescar en todo el espacio. Realmente acogedor."
"-12.0773039,-77.1696105,11z",5,Buenisima atencion y deliciosos platos. Lo recomiendo !
"-12.0773039,-77.1696105,11z",1,"Qué decepción, había escuchando bastante de este local, pero no pasa nada, el ceviche de lenguado y el pescado a la chorrillana sin sabor, no lo vale Precio, calidad 👎🏻 Lo único rico fue la chicha morada. Definitivamente no regreso y No lo recomiendo!…"
"-12.0773039,-77.1696105,11z",4,"Vuelvo después de algún tiempo  al emblemático restaurante que lleva el nombre de quien en vida fue su principal gestora , SONIA , sigue igualito , buena comida , la atención buena pero los mozos deberían saber de que consta cada plato para absolver preguntas al respecto , por lo demás todo excelente"
"-12.0773039,-77.1696105,11z",4,"Muy rico la verdad, conserva su sazón, el cebiche 10 puntos de lenguado lo mejor. El pulpo al olivo exquisita su textura y el chaufa de pescado muy bueno.Mención aparte su leche de tigre y su tacu tacu con filete de pescado."
"-12.0773039,-77.1696105,11z",5,Pescado fresco y excelente cocina
"-12.0773039,-77.1696105,11z",5,"Buenísimo, solo pedir el pulpo a la parrilla más crocante. Pedimos ronda fría, jalea mixta, leche de tigre y arroz con mariscos, todo excelente."
"-12.0773039,-77.1696105,11z",5,"Excelente lugar y atención , comida espectacular"
"-12.0773039,-77.1696105,11z",5,muy bueno y cerrando con lo mejor  deliciosos picarones con miel de higo
"-12.0773039,-77.1696105,11z",3,"un lugar donde se puede ir en familia, se come muy bien, excelente comida, fresca, y buena presentación de platos típicos peruanos, me encanto"
"-12.0773039,-77.1696105,11z",5,"Es uno de los mejores restaurantes que he visto.  La atención es de lo mejor y la comida también.  Tienen una gran variedad de platos marinos y criollos.  Es un poco caro, pero vale la pena el gasto.  ¡¡Se los recomiendo!!"
"-12.0773039,-77.1696105,11z",5,"Me sorprendio bastante el lugar, facil de llegar, buen ambiente y muy buena la comida."
"-12.0773039,-77.1696105,11z",3,"Lamentablemente no es lo que espere, lo único rescatable de los quE pedí fue el chaufa de pescado, el ceviche muy cocinado y ácido, los tiradores también mucho limón, la jalea familiar contundente pero pasada de sal.…"
"-12.0773039,-77.1696105,11z",5,Regresé después de varios años y comprobé que la atención y la calidad de los platos se han mantenido en el tiempo.Todo DELI!!!
"-12.0773039,-77.1696105,11z",5,"El sitio tiene buena decoración y buen ambiente. Hay música en vivo y el dueño se acerca a las mesas de los comensales para saludarlos y tomarse fotos. La comida estuvo rica, el cevichito buenazo."
"-12.0773039,-77.1696105,11z",4,La comida es muy buena y el precio es lo de menos. Probar su comida marina es una experiencia de sabor. El sitio es complicado para conseguir estacionamiento por eso se debe ir temprano. La atención es amable y sirven la comida en buen…
"-12.0773039,-77.1696105,11z",5,Exquisitoooo todo es delicioso y el lugar acogedor.
"-12.0773039,-77.1696105,11z",5,"Ambiente familiar,  atendido por sus dueños, música agradable.  Sólo comentarios positivos en cada una de mis visitas"
"-12.0773039,-77.1696105,11z",5,"Buena comida marina, personal atento, precios razonables y ambiente agradable con música en vivo interpretada por un maestro pianista. Lo recomiendo"
"-12.0773039,-77.1696105,11z",4,"El lugar es bonito, la comida buena y el ambiente (criolllo) es muy agradable. Tiene un espectáculo de música en vivo, bastante interesante. Solo sugeriría mejorar la presentación y guarnición de los platos. Me pareció un poco pobre para el precio. Por lo demás, es un buen lugar."
"-12.0773039,-77.1696105,11z",4,"Todo un clásico de la cocina limeña. Local sin pretensiones, modesto, con un aceptable servicio y una buena atención. Donde el restaurante muestra sus excelencias es una vez que empiezan a servirte la comida en la mesa. Muy recomendable el cebiche, el pulpo al olivo, el chupe de camarones y la chita frita."
"-12.0773039,-77.1696105,11z",4,"Me encantó el ceviche, el mejor que he probado hasta ahora, música en vivo (fui un sábado), el pescador del restaurante recitó un poema que llegó al corazón, excelente decoración, todo de pescadores, las redes, las boyas, me hace recordar a…"
"-12.0773039,-77.1696105,11z",5,"Imperdible por el sabor y la tradición que tienen de poner música en vivo.
Además, cada hora sale el pescador del lugar mostrando la pesca del día y recitando poesías para acompañar el momento. Es recomendable para cualquiera sea turista o peruano."
"-12.0773039,-77.1696105,11z",3,"El lugar es limpio, cumplen con todos los protocolos, se come mas o menos bien, el ceviche no me gustó y los precios me parecen demasiado  caro."
"-12.0773039,-77.1696105,11z",4,Sirven uno de los ceviches más ricos de Lima!! Tienes que probarlo!!!
"-12.0773039,-77.1696105,11z",4,"Se da a conocer como un acogedor rinconcito de chorrillos, donde podrás escuchar música criolla en vivo por talentosos maestros. Tienen una extensa carta de comida marina que te tomarán minutos en decidir que degustaras. Recomiendo llegar temprano puesto que el espacio para estacionar es reducido y suele llenarse."
"-12.0773039,-77.1696105,11z",1,"Debería ser 00 si no fuera por la atención de los mozos.
Su comida salada.
Precio excesivo con sus platos que tiene.
Eh probado mejores platos y menor costo."
"-12.0773039,-77.1696105,11z",5,"Super bueno! Toda la combinación de la comida, la atención y la música del piano hacen un ambiente súper agradable y ni que decir de los picarones. Todo muy bueno  Una experiencia muy agradable."
"-12.0773039,-77.1696105,11z",3,"Se supone q es un huarique y deberian servir bien y no a lo Gaston q parece para degustacion y no como debe ser un huarique, donde se sirve generoso y bien. La comida esta bien, el cebiche bien, el chicharron algo tela y ni q decir de la…"
"-12.0773039,-77.1696105,11z",4,"Lugar familiar, escondido y tranquilo. El servicio es cortes y acomedido. No tiene cochera, el ceviche es aceptable, irónicamente no lo recomiendo por costo beneficio. Los precios no van de acuerdo a la calidad, infraestructura y sabor de bebidas."
"-12.0773039,-77.1696105,11z",1,"Fue una experiencia desagradable, primero tratamos de pedir una chita al ajo pero me dijeron que no tenian y que en vez de eso tenian cabrilla entera y que lo cobraban a 180, casi el doble del que yo le pedi. Decepcionado le pedimos una…"
"-12.0773039,-77.1696105,11z",3,"Pueden mejorar, se demoraron demasiado en traerme una guarnición, y se demoraron la vida en traernos la cuenta. Estuvo rico pero no a ese precio. Lo chevere es que el dueño sale a recitar vestido de pescador."
"-12.0773039,-77.1696105,11z",2,"La comida estaba buena aunque no wau, el mozo que nos atendió era super pedante, había otro que atendía mejor pero para mala suerte es la segunda vez que nos toca el mismo malagracia. Desde  la atención del mozo malogró la experiencia."
"-12.0773039,-77.1696105,11z",5,"Un primo me lo recomende, fui en el 2013 con mi esposa que es colombiana y le encanta la comida peruana. Tuvimos la oportunida de conocer al dueño muy amable el sencillo. Se tomo una foto con nosotros bien chevere. La decoracion del lugar…"
"-12.0773039,-77.1696105,11z",5,"Muy buena comida, especialmente chupe de langostinos delicioso"
"-12.0773039,-77.1696105,11z",5,"Muy buena sazón, el pescado muy fresco que le da un sabor especial a sus platos .."
"-12.0773039,-77.1696105,11z",4,"Excelent sea food. El lugar es muy encaletado, pero acogedor y muy bien ambientado. La comida está de más decir que es muy buena, a pesar de los precios un poco elevados. La calidad del servicio es un  tema que se puede mejorar. Aún así vale la pena ir."
"-12.0773039,-77.1696105,11z",5,"El mejor ceviche de conchas negras de todo Lima. Simplemente espectacular, hay buena música y el ambiente te transporta al mar. Cuesta conseguir espacio donde estacionar."
"-12.0773039,-77.1696105,11z",5,"Excelente en todo los aspectos, la comida, el ambiente y sobre todo la atención dónde hasta los fundadores te abren la puerta y te muestran el lugar."
"-12.0773039,-77.1696105,11z",5,Excelente Comida .Muy Buena Atención
"-12.0773039,-77.1696105,11z",4,"Excelente atencion y deliciosa comida en un grato ambiente, recomendado 100%"
"-12.0773039,-77.1696105,11z",1,"Ceviche podrido, reclamas y t cancelan el pedido prácticamente r botan de lugar pésima atención
No es lo mismo de años atras!"
"-12.0773039,-77.1696105,11z",5,Maravillo el lugar la atención y la comida. Recomiendo el ceviche y el pulpo al olivo entre otras delicias q pueden degustar
"-12.0773039,-77.1696105,11z",1,"Malísima, no te dan mariscos pura Lapa   el pisco sour es con un pisco de última,  la atención pésima y encima se tiene que esperar en la calle, le falta mucho para poder ser de buena calidad y el floro de la música con el cover lo mismo de siempre."
"-12.0773039,-77.1696105,11z",5,Lo máximo todo fresco…. Una pena no pude tomarme foto con el dueño 🥹…
"-12.0773039,-77.1696105,11z",5,Muy bueno
"-12.0773039,-77.1696105,11z",5,"Ambiente agradable, tranquilo."
"-12.0773039,-77.1696105,11z",1,"No les recomiendo para nada este lugar, es puro nombre si bien algunos platos son agradables pero no wow como el pescado a lo macho, no les recomiendo el ceviche de la casa..literal me vinieron dos pedazos de lenguado, puro pulpo y dos…"
"-12.0773039,-77.1696105,11z",3,"Mucha fama pero no es para tanto. Una Chita al ajo de 1.5kg 300 soles, no era ninguna maravilla, incluso la carne un poco seca. El chupe de camarones 50 soles, siendo un cuenco pequeño  con poca cantidad por ese precio. El cebiche muy rico."
"-12.0773039,-77.1696105,11z",3,"Buena comida, deben mejorar calidad del servicio con buenas servilletas y 🍴 cubiertos de mejor calidad, sus precios ameritan una mejor calidad de servucios no sólamente buena comifa…"
"-12.0773039,-77.1696105,11z",5,La atención es inmejorable y los platillos están deliciosos...todas las opciones del menú son excelentes. Un imperdible de Lima. Gracias Christian por el esmero en tu trabajo...lo haces sentir a uno como en casa.
"-12.0773039,-77.1696105,11z",3,Calidad precio no justifica las causas en realidad son mini causa y para el precio a pesar que tiene buen sabor demasiado caro a ese precio prefiero Fiestas
"-12.0773039,-77.1696105,11z",5,"Restaurante Marino,  tradición en chorrillos y de los mejores en Perú.
Exquisita preparación, deben visitarlo."
"-12.0773039,-77.1696105,11z",3,"El ambiente y la atención muy buena los platos me parecieron regulares, comí camarones al ajo y en sudado, los camarones eran pequeños algo que podrían cuidar para ofrecer un plato de muy buena calidad."
"-12.0773039,-77.1696105,11z",1,"Terrible ATENCION!
El hombre de la puerta malcriado, una actitud horrible cada gente que va sentando te CIERRA la puerta en la cara! Le traen trabajo y aun así su mal humor 😒…"
"-12.0773039,-77.1696105,11z",4,"Excelente lugar con la tradición de la comida peruana intacta, la atención es muy amable.
Muy recomendable"
"-12.0773039,-77.1696105,11z",5,"Super fresco, pesca del día, riquísimo todo"
"-12.0773039,-77.1696105,11z",5,"Uno de los restaurantes íconos de la comida peruana en Lima. Platos típicos con la presentación casera, porciones abundantes. Buena atención y servicio. El ceviche una gloria.…"
"-12.0773039,-77.1696105,11z",3,"El ceviche estaba bueno, la causa de pulpo también pero el arroz con mariscos no. Para el precio que tienen los platos que es alrededor de 40 soles esperaba las porciones un poco más grandes."
"-12.0773039,-77.1696105,11z",4,"Conserva el ambiente que lo hizo famoso, una buena carta y platos a cual mejor.
Vale la pena darse una vuelta"
"-12.0773039,-77.1696105,11z",5,Excelente los platos. Es uno de los lugares de mi preferencia.
"-12.0773039,-77.1696105,11z",5,El mejor chupe de camarones
"-12.0773039,-77.1696105,11z",1,El pescado no estuvo como siempre esta vez me toco un pescado frito que no estaba crocante y la atención no fue buena 🥺 un restaurant menos en mi lista 🥺…
"-12.0773039,-77.1696105,11z",3,"Un lugar donde se come más o menos, su cebiche rico, sus calamares no pasa nada, un litro de maracuya 25 soles demaciado caro, yo no regreso.."
"-12.0773039,-77.1696105,11z",4,Muy rico pero a las 3.35 ya empiezan a decirte q no te pueden atender porque cierran 4pm. Demasiadp temprano
"-12.0773039,-77.1696105,11z",5,"Lo recomiendo, la comida es deliciosa 😋.…"
"-12.0773039,-77.1696105,11z",4,Precios bastante altos pero se recibe calidad.  El personal es muy atento y trabajan a puerta cerrada. No hay parqueo. Solo pueden estacionar en la vía pública.
"-12.0773039,-77.1696105,11z",4,Excelente lugar para comer algo en base a pescado.
"-12.0773039,-77.1696105,11z",5,Excelente comida en especial las conchas y lenguados
"-12.0773039,-77.1696105,11z",4,"Pedí sudado de lenguado y me pareció muy sabroso, el lugar está un poco escondido y tienes que tocar el timbre porque hacía la fachada no se ve nada"
"-12.0773039,-77.1696105,11z",1,"A quién se le ocurre cobrar una jalea de LISA a 79 soles. Ese pescado crece en los desagües. Salí corriendo, ni más."
"-12.0773039,-77.1696105,11z",5,Muy buena comida y servicio.
"-12.0773039,-77.1696105,11z",5,Sus platos son muy buenos siempre y la atención magnífica. Un lugar ya tradicional
"-12.0773039,-77.1696105,11z",5,Excelente ceviche vale mucho la pena y más por su tradición.
"-12.0773039,-77.1696105,11z",5,"Una deliciosa comida como se debe preparar con frutos del mar súper frescos y con la Sason de antaño, 1,000 recomendable."
"-12.0773039,-77.1696105,11z",5,es lo maximo me encanta le doy 5 cinco estrellas es una cosa increible la mejor cevicheria del mundo saludos.
"-12.0773039,-77.1696105,11z",5,"Excelente comida muy rica, buen ambiente
Gente amable atendiendo"
"-12.0773039,-77.1696105,11z",5,Muy buena la atención. Comida fresca y al gusto del cliente
"-12.0773039,-77.1696105,11z",3,Rica comida pero precios del pescado entero demasiado caro para lo que era. 180 soles y 25 la jarra de chicha.. Había música en vivo
"-12.0773039,-77.1696105,11z",5,Ambiente confortable y privado..restaurant a puerta cerrada... excelente comida (pescados y mariscos)... bien sabor y precios accesibles..
"-12.0773039,-77.1696105,11z",5,La comida exquisita el ambiente  calido y acogedor muy seguro
"-12.0773039,-77.1696105,11z",1,"Muy sobre valorado, atencion deficiente sus platos nada especial hay muchos otros sitios en Lima para comer con mayor calidad a mejores precios y atencion general...salimos decepcionados!"
"-12.0773039,-77.1696105,11z",1,"La comida no tiene buen sabor y sirven demasiado poquito que pena en su afán de convertirse en gourmet para cibrar carisimo perdió su esencia.
No lo recomiendo para nadaaaaaa!!!!!"
"-12.0773039,-77.1696105,11z",5,"Un buen lugar para degustar platos sobrr la base de pescados y mariscos, en el corazón de Chorrillos."
"-12.0773039,-77.1696105,11z",5,"Demasiado bueno, la mejor parihuela que he probado en mi vida. La chita al ajo buenaza y el ceviche ni qué hablar."
"-12.0773039,-77.1696105,11z",5,"Delicia de comida peruana. Se atiende a puerta cerrada, debe tocar en puerta. Se cobra 10.00 soles adicionales de cover, por show que se presenta."
"-12.0773039,-77.1696105,11z",5,"Siempre super, casi lo mejor en Lima para pescados y mariscos!!"
"-12.0773039,-77.1696105,11z",2,Muy mala experiencia.....
"-12.0773039,-77.1696105,11z",5,"Muy bueno,,la atención exelente"
"-12.0773039,-77.1696105,11z",5,Buenos pisco sour y la comida también es rica
"-12.0773039,-77.1696105,11z",5,"Si deseas pasar un momento agradable  disfrutar la hesquisites y variedad de su comida,Mariscos,pescado. Les recomiendo,me sentí como es casa. Queda en chorrillos: SONIA"
"-12.0773039,-77.1696105,11z",5,Excelente atención y los platos muy buenos felicitaciones 💪💯🇵🇪…
"-12.0773039,-77.1696105,11z",2,"No habia lo que queria comer y me cobraron 25 soles por una jarra de litro de chicha, me parecio muy caro"
"-12.0773039,-77.1696105,11z",5,Un buen lugar donde se puede comer un buen ceviche y un ambiente muy rustico y acojedor. Y sobre todo bien caleta.
"-12.0773039,-77.1696105,11z",5,Muy ricos platos me gusto su huevera a lo macho.
"-12.0773039,-77.1696105,11z",3,La ambientación y el piano aportan al sabor de los platos qué dejaron de ser contundentes.
"-12.0773039,-77.1696105,11z",5,"Excelente lugar. Buena comida, buen ambiente, música en vivo; y personal siempre atento a los clientes."
"-12.0773039,-77.1696105,11z",5,"Muy buenos platos, pero muy gurmet"
"-12.0773039,-77.1696105,11z",1,"No es  buen lugar lo siento soy muy sincero,  hagamos del ceviche un algo más excelente que solo cobrar."
"-12.0773039,-77.1696105,11z",5,Buena sazón ...buena atención..personal amable y respetuoso😀😀😀…
"-12.0773039,-77.1696105,11z",5,La.mejor experiencia entre el mar y la tierra
"-12.0773039,-77.1696105,11z",4,Los platos muy ricos pero el ambiente rústico no justifica los precios.
"-12.0773039,-77.1696105,11z",5,Maravilloso lugar. Excelente comida.
"-12.0773039,-77.1696105,11z",4,Antes era mejor
"-12.0773039,-77.1696105,11z",5,"Buenos choritos a la chalaca, arroz con mariscos y su picante de mariscos...lo mejor ."
"-12.0773039,-77.1696105,11z",4,Recomendable la huevera frita y la leche de tigre. El chilcano muy bueno.
"-12.0773039,-77.1696105,11z",3,"La comida ok, nada especial. El local está igual que hace 25 años, no cambió. No es barato, yo diría que todo lo contrario. Atravesar Lima para ir a Sonia no vale la pena, hay muchas otras ofertas más interesantes."
"-12.0773039,-77.1696105,11z",5,"Excelente Restaurante, excelente servicio. Me encanta es nuestro lugar preferido."
"-12.0773039,-77.1696105,11z",4,Muy recomendable después de los mariscos cerrar con unos ricos picarones lo máximo
"-12.0773039,-77.1696105,11z",5,"Excelentes platillos con una sazón muy buena, ambiente rústico agradable, especialidad en comida marina."
"-12.0773039,-77.1696105,11z",5,Se come bien buena att
"-12.0773039,-77.1696105,11z",5,"La excelente calidad de su comida del mar, todo delicioso, no hay pierde. Buena atención"
"-12.0773039,-77.1696105,11z",4,"Buen restaurante de comida de Mar peruana, ambiente acogedor con música en vivo, la comida deliciosa y la atención super especial, recomendado!!"
"-12.0773039,-77.1696105,11z",5,"Gua sigue siendo bueno,ordenado,limpio y sobre todo mantienen el buen sabor de sus comidas.vale la pena ir a Chorrillos 👏…"
"-12.0773039,-77.1696105,11z",5,Riquisima comida marina... buena atencion...precios moderados .. ambiente rustico agradable
"-12.0773039,-77.1696105,11z",4,"Buen lugar para comer pescado y mariscos. Ambiente acogedor,  buena atencion y exquisita comida."
"-12.0773039,-77.1696105,11z",5,"En comida marina siempre es bueno, muy recomendable."
"-12.0773039,-77.1696105,11z",5,Muy buena sazón. Restaurante de comida criolla y marina. Carta variada. Precios un poco elevados.
"-12.0773039,-77.1696105,11z",3,La comida buenisima pero el mesero que nos tocó arruinó la experiencia culimaria. No volveremos lastimosamente.
"-12.0773039,-77.1696105,11z",5,De los mejores ceviches más ricos que haya probado. Palabra de cevichero. Gran servicio!
"-12.0773039,-77.1696105,11z",5,Un exelente lugar para ir con la familia y comer todo lo que es comida marina una atención A1 y un exelente comida
"-12.0773039,-77.1696105,11z",5,Delicioso chupe de camarones con bastantes camarones.
"-12.0773039,-77.1696105,11z",5,"Excelente  Comida y Atención, además de ser muy clásico y la música de fondo siempre con el Piano."
